id,type,domain,enabled,date_added,date_modified,comment
51,0,87a6b28bc7823e67a5bb2a0a6728c702afcae78d.cws.conviva.com,1,1600926128,1600939472,"Added from Query Log"
52,0,redirector.googlevideo.com,1,1600926293,1600939474,"Added from Query Log"
53,0,partnerad.l.doubleclick.net,1,1600926306,1600939477,"Added from Query Log"
54,0,cdn.branch.io,1,1600926317,1600939479,"Added from Query Log"
55,0,mobile-collector.newrelic.com,1,1600926328,1600939482,"Added from Query Log"
56,0,r1---sn-8xgp1vo-2ial.googlevideo.com,1,1600931735,1600931735,"Added from Query Log"
57,0,sb.scorecardresearch.com,1,1600931751,1600931751,"Added from Query Log"
58,0,tag.researchnow.com,1,1600931780,1600931780,"Added from Query Log"
60,0,secure-gg.imrworldwide.com,1,1600931809,1600931809,"Added from Query Log"
61,0,servedby.flashtalking.com,1,1600931823,1600931823,"Added from Query Log"
62,0,www-google-analytics.l.google.com,1,1600931833,1600931833,"Added from Query Log"
63,0,ade.googlesyndication.com,1,1600931842,1600931842,"Added from Query Log"
64,0,pixel.mtrcs.samba.tv,1,1600931852,1600931852,"Added from Query Log"
65,0,googleads4.g.doubleclick.net,1,1600931863,1600931863,"Added from Query Log"
68,0,r8---sn-8xgp1vo-2iae.googlevideo.com,1,1600934717,1600934717,"Added from Query Log"
69,0,p.tvpixel.com,1,1600934723,1600934723,"Added from Query Log"
71,0,sdk.iad-01.braze.com,1,1600934766,1600934766,"Added from Query Log"
72,0,securepubads.g.doubleclick.net,1,1600934776,1600934776,"Added from Query Log"
73,0,gm.demdex.net,1,1600934783,1600934783,"Added from Query Log"
75,0,cbsinteractive.hb.omtrdc.net,1,1600934816,1600934816,"Added from Query Log"
76,0,cdn.flashtalking.com,1,1600935453,1600935453,"Added from Query Log"
77,0,stat.flashtalking.com,1,1600935464,1600935464,"Added from Query Log"
78,0,swa.demdex.net,1,1600935471,1600935471,"Added from Query Log"
79,0,ad.doubleclick.net,1,1600935503,1600935503,"Added from Query Log"
80,0,s.innovid.com,1,1600935507,1600935507,"Added from Query Log"
81,0,tps.doubleverify.com,1,1600935513,1600935513,"Added from Query Log"
82,0,s.amazon-adsystem.com,1,1600935523,1600935523,"Added from Query Log"
83,0,pixel.adsafeprotected.com,1,1600935549,1600935549,"Added from Query Log"
85,0,ag.innovid.com,1,1600935560,1600935560,"Added from Query Log"
87,0,secure.insightexpressai.com,1,1600936118,1600936118,"Added from Query Log"
88,0,secure-gl.imrworldwide.com,1,1600936126,1600936126,"Added from Query Log"
89,0,d.agkn.com,1,1600936135,1600936135,"Added from Query Log"
90,0,cws-iad1.conviva.com,1,1600936156,1600936156,"Added from Query Log"
91,0,nycp-hlb.dvgtm.akadns.net,1,1600936751,1600936751,"Added from Query Log"
92,0,c.betrad.com,1,1600936759,1600936759,"Added from Query Log"
93,0,ford.demdex.net,1,1600936769,1600936769,"Added from Query Log"
94,0,static.adsafeprotected.com,1,1600936793,1600936793,"Added from Query Log"
95,0,beacon.krxd.net,1,1600936802,1600936802,"Added from Query Log"
96,0,e7876.dscg.akamaiedge.net,1,1600937264,1600937264,"Added from Query Log"
97,0,tps30.doubleverify.com,1,1600937281,1600937281,"Added from Query Log"
98,0,dts.innovid.com,1,1600937285,1600937285,"Added from Query Log"
99,0,d.turn.com,1,1600937318,1600937318,"Added from Query Log"
100,0,f-log-extension.grammarly.io,1,1600943635,1600943635,"Added from Query Log"
101,0,gnar.grammarly.com,1,1600943639,1600943639,"Added from Query Log"
102,0,dpu.samsungelectronics.com,1,1600944107,1600944107,"Added from Query Log"
103,0,mobile.pipe.aria.microsoft.com,1,1600944147,1600944147,"Added from Query Log"
104,0,upu.samsungelectronics.com,1,1600944487,1600944487,"Added from Query Log"
105,0,udm.scorecardresearch.com,1,1600969137,1600969137,"Added from Query Log"
107,0,insights-collector.newrelic.com,1,1600969164,1600969164,"Added from Query Log"
109,0,5af10.v.fwmrm.net,1,1600969229,1600969229,"Added from Query Log"
110,0,smetrics.att.com,1,1600969247,1600969247,"Added from Query Log"
114,0,insight.adsrvr.org,1,1600969298,1600969298,"Added from Query Log"
117,0,px.moatads.com,1,1600969335,1600969335,"Added from Query Log"
118,0,statsf-tm.everesttech.net,1,1600969349,1600969349,"Added from Query Log"
119,0,lax1-ib.adnxs.com,1,1600969361,1600969361,"Added from Query Log"
120,0,ib.adnxs.com,1,1600969365,1600969365,"Added from Query Log"
121,0,playtime-tm.everesttech.net,1,1600969376,1600969376,"Added from Query Log"
122,0,secure-us.imrworldwide.com,1,1600969391,1600969391,"Added from Query Log"
123,0,ecc4091c0db0f4da8da2ec50fac7234c230207ef.cws.conviva.com,1,1600969477,1600969477,"Added from Query Log"
126,0,usw-lax.adsrvr.org,1,1600969547,1600969547,"Added from Query Log"
127,0,video.moatads.com,1,1600969550,1600969550,"Added from Query Log"
128,0,sync.search.spotxchange.com,1,1600969561,1600969561,"Added from Query Log"
129,0,ib.anycast.adnxs.com,1,1600969590,1600969590,"Added from Query Log"
130,0,a2.adform.net,1,1600969600,1600969600,"Added from Query Log"
131,0,nexusrules.officeapps.live.com,1,1600983965,1600983965,"Added from Query Log"
132,0,rtd-tm.everesttech.net,1,1600983978,1600983978,"Added from Query Log"
133,0,americanlebanesesyrianassociat.demdex.net,1,1600983986,1600983986,"Added from Query Log"
134,0,cf.iadsdk.apple.com,1,1600991355,1600991355,"Added from Query Log"
135,0,app-measurement.com,1,1600991379,1600991379,"Added from Query Log"
136,0,app.adjust.com,1,1600991383,1600991383,"Added from Query Log"
137,0,px.ads.linkedin.com,1,1600994952,1600994952,"Added from Query Log"
138,0,web.vortex.data.microsoft.com,1,1600995588,1600995588,"Added from Query Log"
139,0,identity.mparticle.com,1,1601050269,1601050269,"Added from Query Log"
140,0,config2.mparticle.com,1,1601050273,1601050273,"Added from Query Log"
141,0,scontent.xx.fbcdn.net,1,1601074047,1601074047,"Added from Query Log"
142,0,track.flexlinkspro.com,1,1601076189,1601076189,"Added from Query Log"
143,0,device-metrics-us-2.amazon.com,1,1601088566,1601088566,"Added from Query Log"
144,0,aax-us-iad.amazon.com,1,1601088576,1601088576,"Added from Query Log"
145,0,mads.amazon.com,1,1601088596,1601088596,"Added from Query Log"
146,0,tracking.epicgames.com,1,1601183085,1601183085,"Added from Query Log"
147,0,log-ingestion.samsungacr.com,1,1601225907,1601225907,"Added from Query Log"
148,0,tpc.googlesyndication.com,1,1601232660,1601232660,"Added from Query Log"
149,0,explore.amd.com,1,1601511393,1601511393,"Added from Query Log"
150,1,zrwlqrayvifijgj.jsr-tech.com,1,1601596135,1601596135,"Added from Query Log"
151,1,wwkurpxddybxzd.jsr-tech.com,1,1601596140,1601596140,"Added from Query Log"
152,0,s.youtube.com,1,1601798053,1601798053,"Added from Query Log"
153,0,metrics.icloud.com,1,1601798091,1601798091,"Added from Query Log"
155,0,use-tor.adsrvr.org,1,1601800493,1601800493,"Added from Query Log"
156,0,api.taboola.com,1,1603081304,1603081304,"Added from Query Log"
157,0,img.img-taboola.com,1,1603081307,1603081307,"Added from Query Log"
158,0,pagead2.googlesyndication.com,1,1603081326,1603081326,"Added from Query Log"
160,0,pagead46.l.doubleclick.net,1,1605952529,1605952529,"Added from Query Log"
161,0,settings.crashlytics.com,1,1605952547,1605952547,"Added from Query Log"
162,0,googleads.g.doubleclick.net,1,1605952557,1605952557,"Added from Query Log"
163,0,px.spiceworks.com,1,1607909760,1607909760,"Added from Query Log"
164,0,metrics.api.drift.com,1,1607909778,1607909778,"Added from Query Log"
165,0,targeting.api.drift.com,1,1607909783,1607909783,"Added from Query Log"
166,0,gekko.spiceworks.com,1,1607909795,1607909795,"Added from Query Log"
167,0,static.ziffdavis.com,1,1607909801,1607909801,"Added from Query Log"
168,0,cooper.logs.roku.com,1,1609928346,1609928346,"Added from Query Log"
170,0,nativesdks.mparticle.com,1,1611552187,1611552187,"Added from Query Log"
171,0,mobile.launchdarkly.com,1,1611552209,1611552209,"Added from Query Log"
172,0,nbcume.sc.omtrdc.net,1,1611552228,1611552228,"Added from Query Log"
173,0,b.scorecardresearch.com,1,1611645580,1611645580,"Added from Query Log"
174,0,telemetry.malwarebytes.com,1,1611645594,1611645594,"Added from Query Log"
175,0,g.msn.com,1,1611645611,1611645611,"Added from Query Log"
176,0,beacons.extremereach.io,1,1611651205,1611651205,"Added from Query Log"
177,0,www.camsoda.com,1,1613940387,1613940387,"Added from Query Log"
178,0,www.livejasmin.com,1,1613940854,1613940854,"Added from Query Log"
179,0,www.flirt4free.com,1,1613940932,1613940932,"Added from Query Log"
180,0,c.msn.com,1,1614855806,1614855806,"Added from Query Log"
181,0,c.bing.com,1,1614855809,1614855809,"Added from Query Log"
